descricao,problema
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: acesso a internet <br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: desconheço<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: mensagem de bloqueio normal<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: ausência de operações<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Favor reservar Sala JK para a Gecom, dia 01.06, de 11:20 às 12:00.","Reserva de espaço"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula""></span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">DALVA</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">http://www.consultoriaampla.com.br/?4,733,0,governo-adota-fossa-septica-biodigestora-desenvolvida-na-embrapa-como-politica-publica.html</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Clipping </span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Clipping </span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Clipping </span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula""></span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">DALVA</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">http://www.omedionorte.com.br/slideshow/id-593018/prefeitura_renova_parceria_com_fundacao_banco_do_brasil_e__aabb_comunidade__retorna_neste_mes_de_junho</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Clipping </span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Clipping </span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Clipping </span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Novo relatório - demanda da Diretoria<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: falta do relatório<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: nd<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: inclusão de um relatório que será a capa da análise<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: a avaliar<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: urgente<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: nao<br><br><b> Informações Adicionais:&nbsp;</b><br>","Sapiens - Manutenção Evolutiva (Expressa)"
"No dia 30.05.17 durante o intervalo de almoço houve teste de incêndio&nbsp; no ed. Number One impossibilitando o funcionário F9342838 (Tiago Sell) de registrar o retorno do almoço. Conforme orientação da Gepin o gestor (Fábio) registrou manualmente o retorno do almoço.<br>",Funcionalismo
"Gentileza realizar análise tributária do documento anexo, relativo ao Rel PCONT 4, CONTRATO nº 2014/14.569<br>","Impostos/Tributos – Consulta/Assessoria"
"Gentileza realizar análise tributária da NF 2017/2, DO CONTRATO nº 2014/14.685. <br>","Impostos/Tributos – Consulta/Assessoria"
"
                <b style=""font-variant: small-caps; font-size: medium;"">Comunicado Interno</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
                <b>Título da mensagem: </b><span name=""r_titulo"">TREINAMENTO DE EVACUACAO</span><br>
                <b>Data e hora do evento: </b><span name=""r_data"">30/05/2017</span> às <span name=""r_horaini"">00:00</span><br>
                <b>Local de realização: </b><span name=""r_local"">XXXXXXXXXXXXXX</span><br>
                <b>Conta como hora de treinamento? </b><span name=""rbPergunta01"">Não</span><br>
                <b>Código FIP a ser utilizado: </b><span name=""codigoFIP"">000</span><br>
                <b>Texto da mensagem: </b><br><span name=""r_textomsg"">Favor encaminhar um agradecimento pela participação dos funcionários no treinamento de evacuação do edifício. Nota: incluir um texto informativo sobre a importância de não utilizar a escada de emergência no cotidiano do trabalho visto que danifica o sistema de molas das portas pressurizadas.<br>Grata!</span><br>
            ","Comunicação Interna"
"Gentileza realizar análise tributária referente a NF nº 150, Contrato 2014/14.574<br>","Impostos/Tributos – Consulta/Assessoria"
"Solicito a compra/instalação de um teclado e mouse sem fio para a sala de videoconferencia do 19 andar","Problema Padrão - GEPIN"
"
                <b style=""font-variant: small-caps; font-size: medium;"">Desligamento da FBB</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
                <b>Matrícula / Nome: </b><span name=""r_matricula"">3.606.065-8</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">GEOVANE MARTINS FERREIRA</span><br>
                <b>Últ. dia tranalhado: </b><span name=""r_data"">29/05/2017</span><br>
                <b>Motivo do Desligamento: </b><br><span name=""r_motivodesligamento"">aposentadoria</span><br>
            ","Acessos Diversos"
"Continuação do suporte 42.105, suporte encerrado pelo sistema.","BI - Manutenção Evolutiva (Expressa)"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Desvincular instituição PROIS do cadastro do BTS de:<div><span style=""color: rgb(96, 96, 96); font-family: arial, Helvetica, sans-serif; font-size: 11px; background-color: rgb(255, 255, 255);"">Ione Maria Soares de Carvalho , email:&nbsp;</span><font color=""#606060"" face=""arial, Helvetica, sans-serif""><span style=""font-size: 11px;"">ioneprois@yahoo.com.br</span></font><br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: <br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br></div>","BTS - Manutenção Corretiva"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">0.499.331-4</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">ALIRIO PEREIRA FILHO</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens""></span>
            <span id=""sapiens_opc"" style="""">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">Permitir acesso a tela sapiens:<br>Finanças &gt; Personalizadas &gt; Serviço e Produtos - Itens Adiantáveis</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens"">GEIMP</span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"Gentileza cancelar NF 23638 e NF 24236 fornecedor 99526 - Cooperativa Agrop. do Extremo Sul da Bahia<div>PROJETO 14.675</div>","Sapiens - Manutenção Corretiva"
"Favor solicitar um motoboy para levar um documento no Edifício BB, A/C Rodrigo Nogueira (UNC). A Dâmaris tem as informações, pois é um pedido do Pepe.","Serviços externos"
"Solicito reserva da sala JK para dia 01.06, das 10h às 12h.<div>Obrigada!</div>","Reserva de espaço"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Inserção de Notas Fiscais. Autorizar pagamento. <br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Independente do navegador utilizado o sistema não conclui a operação. Ora fecha automaticamente a tela, ora fica com a imagem congelada, conforme print anexo.&nbsp; <br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Anexada<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Atraso na liberação dos recursos. Exposição da FBB perante os parceiros. <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","SGP - Manutenção Corretiva"
,"Publicação no DOU"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">2.308.770-6</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">DARLAN ADEMIR SCHEER</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">www.trinanda.com.br , www.arvore-digital.com , www.antidotodesign.com.br , www.triscele.com.br , www.interativads.com.br , www.adventuretech.com.br  </span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Pesquisa de fornecedores de equipamentos e sistemas de de interatividade e realidade virtual.   </span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Subsidiar processo de aquisição de equipamentos e softwares para maquetes de Tecnologias Sociais. </span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula""></span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">MARCO AURÉLIO CIRILO LEMOS </span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">http://www.unmsm.edu.pe/; http://www.owee.me/; www.greenenergylatam.com</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">premio</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">TS</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"<b>Computador lento e travando.</b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Aline,<div><br></div><div>Solicitamos que o valor de R$ 596,17, depositado na conta 402.248 da FBB em 19/05/2017, seja creditado no projeto 15154, conta financeira 44.133, fase 1002. Esse valor refere-se a juros e multa de seguro que será pago pela FBB.</div><div><br></div><div>Att.,</div><div>Simões&nbsp;</div><div>Gerap</div>","Sapiens - Manutenção Corretiva"
,"Publicação no DOU"
"correio deu tilt.","Equipamento (exceto informática) - Manutenção"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Acesso internet<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Nenhuma pagina abre. Aparece a seguinte mensagem:<h1 id=""mainTitle"">Há um problema no certificado de segurança do site. Ou conteúdo bloqueado.</h1><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Consulta de fornecedores para conclusão ou devolução de pagamentos<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: nesta data<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Software - Instalação / Configuração / Desinstalação"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Acesso à páginas da internet.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Exibe a mensagem ""conteúdo bloqueado pela Getec"" para qualquer site que se tente acessar. Ex.: G1, Correio Braziliense, Sindicato dos Bancários DF, etc.<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Mensagem descrita no item 2.<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Desbloqueio do acesso aos sites.<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Não acessar a internet.<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: 30/05/2017.<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não.<br><br><b> Informações Adicionais:  </b><br>","Software - Instalação / Configuração / Desinstalação"
